Incident Type,Officer Action,Subject Behavior,De-escalation Tactic,Weapon Involved,Incident Outcome,Bodycam Transcript
Suspicious Person,Pointed Weapon,Hostile,Maintained Distance,,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 23:57:12

**(00:00:00) Audio of police radio chatter in the background, faint sirens in the distance.  Sound of Officer Miller's footsteps on pavement.**

**Officer Miller:** (Approaching subject)  Sir, can I talk to you for a moment?

**(00:00:05)  Sound of a startled gasp from the subject.**

**Subject:** (Muttering) What the hell do you want?

**Officer Miller:**  Sir, I received a call about a suspicious person in this area.  I just need to ask you a few questions. Please keep your hands where I can see them.

**(00:00:12) The subject begins to pace back and forth. Officer Miller maintains a distance of about 15 feet.**

**Subject:**  (Loudly) I ain't done nothin'!  Get outta my face!

**(00:00:18) Officer Miller subtly draws his taser, keeping it pointed down and away from the subject.  The action is only partially visible on the bodycam.)**

**Officer Miller:**  Sir, please calm down. I’m just trying to understand why you're here at this hour.  Just answer my questions, and I’ll be on my way.

**Subject:** (Shouting) You think you can scare me with that thing?! I ain't afraid of you!  I’m leaving!

**(00:00:25) The subject makes a sudden move towards a nearby alleyway. Officer Miller takes a step to his left, maintaining distance and keeping the taser visible.)**

**Officer Miller:**  Sir, stop!  Police! Don't move!

**(00:00:28) The subject hesitates, then slowly turns around, hands raised slightly.)**

**Officer Miller:**  Slowly place your hands behind your head.  Slowly.

**(00:00:35) The subject complies slowly, but with tension.)**

**Officer Miller:** (To radio) Dispatch, requesting backup at the corner of Elm and Oak. Suspect is complying but remains agitated.

**(00:00:42) Sound of approaching police sirens in the background.**

**Officer Miller:**  (To Subject) Okay, sir. We're going to take you in for questioning.  Do you understand?

**Subject:** (Muttering)  Fine...fine...

**(00:00:48)  Two additional officers arrive on the scene.  Officer Miller holsters his taser. The subject is handcuffed without incident.)**

**Officer Miller:** (To backup officers) He’s been taken into custody without further incident.

**(00:00:55)  Sound of the subject being placed into a police vehicle.)**

**Officer Miller:** (To radio) Suspect in custody.  Code 4.  Ending transmission.

**(00:01:00)  Audio fades to background sounds of traffic and police radio chatter.**
"
Welfare Check,Defensive Positioning,Cooperative,Maintained Distance,Knife,Arrested Peacefully,"**Bodycam Transcript - Incident #WC23-478**

**Officer:** Officer Miller, Badge #1247

**Date:** October 26, 2023

**Time:** 22:15:00

**(00:00:00)  [SOUND of police vehicle approaching, then engine cuts off]**

**Officer Miller:** (Approaching house)  Dispatch, Miller at the residence on Elm Street.  Requesting backup for a welfare check, potential subject with a knife.

**(00:00:15) [SOUND of rustling leaves underfoot]**

**Officer Miller:** (Knocking on door)  Police Department, welfare check.

**(00:00:30) [SOUND of door opening cautiously]**

**Subject (Mr. Jones):**  Yes?  Officer...?

**Officer Miller:**  Officer Miller.  We received a call concerning your wellbeing.  Is everything alright?  I can see you have a knife in your hand, sir. Could you please put it down slowly?

**(00:00:45) Mr. Jones:** (voice shaky)  Oh, uh, yes, officer.  I... I was just... cutting an apple.  I’m sorry, I didn't realize anyone would be concerned.

**Officer Miller:** (Maintaining distance, hands visible)  Sir, please put the knife down on the table. Slowly.  I understand you’re having a moment. I'm here to help.

**(00:01:00)  [SOUND of knife placed on table]**

**Mr. Jones:**  Okay, officer. It's down.

**Officer Miller:**  Thank you, sir. Could you please step outside, slowly, away from the knife? Please keep your hands where I can see them.

**(00:01:15) [SOUND of Mr. Jones slowly backing out of the doorway]**

**Officer Miller:**  Good, slow and steady.  Now, sir, can you tell me what's going on?  Why were you holding the knife?

**Mr. Jones:**  I... I’ve been having a tough time lately.  The apple... it felt... symbolic, I guess.  A way to deal with things.

**Officer Miller:**  I understand, sir.  Things get tough sometimes.  We can help you get some assistance. Are you willing to cooperate with us?

**(00:01:45) Mr. Jones:** Yes, Officer.  I need help.

**Officer Miller:** (To radio)  Backup, Miller, subject is cooperating, no further threat observed. Requesting EMS for evaluation.  Subject is being peaceful and complying with instructions.

**(00:02:00) [SOUND of approaching footsteps (backup officers)]**

**Officer Miller:** (To Mr. Jones)  Okay, sir, we are going to need to arrest you for disorderly conduct.  This is for your own safety and well-being.  It's going to ensure you get the help you need.  You understand this, right?

**Mr. Jones:** Yes, Officer.

**(00:02:15) [SOUND of handcuffs clicking]**

**Officer Miller:** (To backup officer) We're good here. Subject is in custody without incident. EMS en route.

**(00:02:30) [SOUND of EMS arriving]**

**Officer Miller:**  Okay, EMS, the subject is calm and cooperative.  He needs an evaluation.

**(00:02:45) [End of recording]**
"
Welfare Check,Physical Restraint,Cooperative,Maintained Distance,Taser,Arrested Peacefully,"**Bodycam Transcript - Incident #WC23-478**

**Officer:** Officer Miller, Badge #147

**Date:** October 26, 2023

**Time:** 22:15:00

**(00:00:00) Audio:  Ambient city noise, distant sirens.**

**Officer Miller:** (Approaching residence, knocking)  Dispatch, Miller, at 14 Oak Street.  Welfare check.

**(00:00:15) Audio: Door opens slowly.**

**Officer Miller:**  Evening, sir. Officer Miller, with the city police. We received a call expressing concern for your wellbeing.

**Subject:** (Voice trembling slightly) Oh, uh... yeah, hi officer.

**(00:00:25) Audio:  Subject's shuffling, nervous breathing.**

**Officer Miller:** Can I see some ID please, sir?

**Subject:** (Reaching into pocket) Sure, one second.  (Produces ID) Here you go.

**(00:00:40) Audio:  Officer Miller scans ID.**

**Officer Miller:**  Thank you, Mr. Jones.  We just wanted to make sure everything was alright.  You seem a little... upset.

**Subject:** (Voice cracking) Yeah, I’ve just had a rough day, officer.  A really rough day.

**Officer Miller:** (Maintaining distance, hands visible) I understand.  Is there anything I can do to help?

**Subject:** (Starts pacing) No, I... I don't think so. I'm just... overwhelmed.

**(00:01:05) Audio: Subject abruptly stops pacing, starts hyperventilating.**

**Officer Miller:** (Calmly) Mr. Jones, take slow, deep breaths. In through your nose, out through your mouth.  Okay? Just breathe.

**(00:01:20) Audio:  Sound of heavy breathing, then a sharp cry.**

**Subject:** (Voice strained) I can't breathe!  I can't...

**(00:01:25) Audio: Officer Miller draws taser, keeping a safe distance.**

**Officer Miller:** (Firm but calm voice) Mr. Jones, I need you to calm down.  I’m going to need you to get on the ground.  Hands behind your head.  Do it slowly.

**Subject:** (Confused, fearful) What?  Why?

**Officer Miller:**  Sir, you’re clearly distressed and I'm concerned for your safety and mine.  I need you to cooperate. Get on the ground, slowly. Hands behind your head.

**(00:01:45)  Audio:  Subject slowly gets down on the ground.  Sound of taser being holstered once the subject is on the ground and subdued.**


**Officer Miller:** (To backup arriving on scene)  Backup is on scene, subject is cooperating.  He's in custody peacefully.

**(00:02:00) Audio: Backup officers arrive. Sounds of handcuffs clicking.**

**Officer Miller:** (To Mr. Jones)  You're going to be transported to the hospital for a mental health evaluation.  This is for your own good, Mr. Jones. Do you understand?

**Subject:** (Weakly) Yes, officer.


**(00:02:20)  Audio: Mr. Jones is helped to his feet and escorted to a patrol car.**

**Officer Miller:**  Dispatch, transporting Mr. Jones to City General for a psych evaluation. Requesting ambulance to follow for potential medical needs.  Incident concluded.


**(End of Transcript)**
"
Suspicious Person,Non-threatening Gestures,Threatened Officer,Empathy Statements,Taser,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Time:** 23:57:12

**(Audio: faint city traffic, distant sirens)**

**00:00:00 Miller:** (Approaches subject slowly, hand visibly on holster, but not reaching for it)  Evening, sir.  Everything alright?  I noticed you pacing back and forth here for quite some time.

**00:00:08 Subject:** (Muttering, agitated)  Mind your own damn business, cop.

**00:00:12 Miller:** Sir, I’m just checking in.  It’s late, and... well, you seem a little... upset. Is there something I can help you with?  (Open palms visible)

**00:00:20 Subject:** (Spits on the ground)  You ain’t helping nothin’.  You’re just another pig looking to harass someone.

**(Audio: Subject takes a step closer, fists clenched)**

**00:00:25 Miller:** (Slight backpedal, maintaining eye contact, calm tone) Sir, I understand you might be feeling frustrated.  Late nights can be tough. But threatening a police officer isn't the answer. Let's try to figure this out.

**00:00:33 Subject:**  Frustrated? I’m furious! You think I like walking around here? They took everything from me! My job, my home... everything!

**(Audio: Subject’s voice cracks with emotion)**

**00:00:40 Miller:** (Empathetic tone) I hear you, sir.  Losing your job and home is incredibly difficult. That’s a lot to deal with.  But taking it out on me... it’s not going to solve anything.

**00:00:48 Subject:** (Voice rising) You don’t understand! You wouldn't understand! You’ve got it all!

**00:00:52 Miller:** (Slowly drawing taser, keeping it low and pointed away from the subject) Sir, please calm down. I'm not here to make things worse.  But if you continue to threaten me, I will have to defend myself.

**(Audio: Tasers’ click sound as Miller activates the safety)**

**00:01:00 Subject:** (Stares at taser, breathing heavily)  ...Fine.

**00:01:05 Miller:**  Take a deep breath, sir.  Just breathe... in... and out...  Let’s talk about what’s happening.  Maybe there are resources that can help you...

**(Audio: Subject takes several deep breaths. His posture relaxes slightly.)**

**00:01:22 Subject:** (Quieter now) ...Maybe... maybe you’re right.

**00:01:27 Miller:**  Good.  I want to help.  There are people who can help you get back on your feet.  We can find some resources.

**00:01:35 Subject:** (Looks down) ...Okay.  I...I’ll listen.

**(Audio: Siren in the distance fades closer and then passes)**

**00:01:42 Miller:** (Holsters taser slowly)  Good.  Now, let’s start with...

**(End of Transcript)**
"
Disturbance Call,Requested Backup,Non-compliant,Requesting Cooperation,,Not Injured,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(Audio: faint background city noise, distant sirens)**

**22:45:12:** Miller:  Dispatch, this is Unit 472 responding to a disturbance call at 14 Elm Street.  Approaching now.

**(Audio: car approaching, slowing down)**

**22:45:37:** Miller: (Exiting vehicle, sounds of car door closing)  Okay, 14 Elm Street.  Looks like it's coming from the apartment building.

**(Audio: footsteps on pavement, building door opening)**

**22:45:52:** Miller: (Knocking on door)  Police, open up!

**(Audio: muffled shouting from inside, then door opens slightly)**

**22:46:05:**  Miller: Sir, can I talk to you for a second?  We received a call about a disturbance.

**Subject (Mark Johnson):**  (Slurred speech) Mind your own damn business.  Go away.

**22:46:12:** Miller:  Sir, I understand you’re upset, but we need to make sure everything is alright. Can you please step outside so we can talk?

**Johnson:**  (Loudly) I said go away! I ain't doing nothin'!

**(Audio: Johnson slams the door partially)**

**22:46:20:** Miller: (Into radio) Dispatch, this is Unit 472 at 14 Elm Street. Requesting backup. Subject is being non-compliant.  No weapons observed.

**22:46:35:** Miller: (To Johnson, shouting through the door) Sir, I'm going to need you to cooperate.  This is for everyone's safety.  If you don’t come out peacefully, we'll have to enter.

**(Audio: loud banging from inside the apartment)**

**22:46:58:** (Radio chatter: ""Unit 472, backup en route."")

**22:47:05:** Miller: (Slightly louder, calmer) Sir, we don't want to escalate this.  Just come out calmly, let us talk to you, and we can resolve this quickly.

**(Audio: sounds of heavy breathing from inside)**

**22:47:22:** (Door opens fully, Johnson appears slightly dishevelled but not injured)

**Johnson:** (Muttering) Fine... Fine... Just leave me alone.

**22:47:30:** Miller: Sir, are you alright?  Do you need medical assistance?

**Johnson:**  (Shakes head) No... I'm fine.  Just had a... disagreement.

**22:47:45:** Miller:  Okay, sir. Can you tell me what happened?

**(Audio: Backup units arrive, officers greet each other, begin questioning Johnson)**

**22:48:10:**  (Another Officer) Unit 472, subject is calm now.  No injuries reported.  Dispatch, request cancelled.  We're wrapping up on scene.

**(Audio: officers continuing to speak with Johnson, background city noise)**

**22:49:02:** Miller: (Turning off bodycam)


**(End of Transcript)**
"
Suspicious Person,Raised Voice,Threatened Officer,Calming Language,Firearm,Escalated to Force,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Timestamp:** 2023-10-27 22:47:12

**(Audio: Distant traffic, faint sirens)**

**Officer Miller:** (Approaching subject)  Sir, can I talk to you for a moment?  I've received reports of a suspicious person in this area.

**Timestamp:** 2023-10-27 22:47:25

**Subject:** (Muttering, unclear)  Get away from me...

**Officer Miller:** Sir, I just need to ask you a few questions.  Can you please keep your hands where I can see them?

**Timestamp:** 2023-10-27 22:47:38

**(Audio: Subject’s rapid breathing)**

**Subject:** (Voice rising) I ain’t doing nothin’!  Mind your own business!

**Officer Miller:**  Sir, I understand you're upset, but I'm just trying to make sure everything's alright.  Can you tell me your name and what you're doing here?

**Timestamp:** 2023-10-27 22:47:52

**Subject:** (Reaching into his waistband)  I told you to leave me alone!  This ain't over!

**(Audio: Officer Miller draws weapon, distinct click of safety)**

**Officer Miller:** (Voice raised, but controlled)  SIR!  GET YOUR HANDS UP!  DO IT NOW!  I have my weapon drawn!  I will use it if I have to!

**Timestamp:** 2023-10-27 22:48:05

**(Audio: Grunting, struggle, sounds of impact)**

**Subject:**  (Screaming) AAAAAAH!

**(Audio: Multiple shouts of ""Get on the ground! Police! Police!"")**

**Timestamp:** 2023-10-27 22:48:20

**(Audio: Taser deployment, subject's cries of pain)**

**Officer Miller:** (Breathing heavily)  Backup, Code 3, suspect resisting arrest, shots fired, repeat Code 3! Suspect down, taser deployed, requesting EMS.

**Timestamp:** 2023-10-27 22:48:40

**(Audio: Sirens approaching, officer communications with dispatch)**

**Officer Miller:** (To another arriving officer) He had a handgun in his waistband.  It’s secured.  He ignored repeated commands. I gave verbal warnings before deploying my taser.

**Timestamp:** 2023-10-27 22:49:15

**(Audio: Ongoing police activity, medical personnel arriving)**


**END TRANSCRIPT**
"
Disturbance Call,Physical Restraint,Non-compliant,Requesting Cooperation,Firearm,Escalated to Force,"**Bodycam Transcript - Incident #20231027-047**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:43:12

**(00:00:00)  Sound of police car arriving, sirens fading**

**00:00:10 Officer Miller:** (Approaching residence, knocking)  Police Department.  Open the door!

**00:00:18**  **(Sound of door opening slowly.  A male voice can be heard shouting indistinctly from inside.)**

**00:00:25 Officer Miller:** Sir, we received a report of a disturbance.  Can you please step outside?

**00:00:32 Subject (Mark Jenkins):**  Get off my property!  I ain't done nothin'!

**00:00:37 Officer Miller:** Sir, we need to speak with you.  There were reports of shouting and...

**00:00:42 Subject (Mark Jenkins):** (Interrupting) Reports?  Lies!  You cops are always lying!  Get off my lawn!

**(00:00:48) (Subject, Mark Jenkins, suddenly lunges toward the door, a glint of metal is visible in his waistband.)**

**00:00:49 Officer Miller:** (Drawing weapon) Police!  Get on the ground!  Hands where I can see them!

**00:00:52 Subject (Mark Jenkins):** (Laughing hysterically)  You think you can scare me?

**(00:00:55) (Subject reaches for his waistband again.)**

**00:00:56 Officer Miller:**  DROP THE WEAPON!  I'm warning you!

**00:00:58 Subject (Mark Jenkins):**  (Muttering incoherently)  You'll have to kill me...

**(00:01:00) (Officer Miller tackles the subject, a brief struggle ensues with sounds of grunts and scuffling.  The camera angle shifts slightly.)**

**00:01:05 Officer Miller:** (While struggling to restrain the subject)  Stop resisting!  Stop resisting!

**(00:01:10) (Other officers arrive on the scene.)**

**00:01:12 Officer Jones (Backup):** Miller, get him cuffed!

**(00:01:15) (Sounds of handcuffs clicking.)**

**00:01:20 Officer Miller:** (To subject, breathing heavily)  You're under arrest for resisting arrest and possession of a firearm.

**00:01:25 Subject (Mark Jenkins):** (Groaning)  I... I didn't do anything...

**00:01:28 Officer Miller:**  (To backup officers)  Secure the weapon.  Check for other weapons.

**(00:01:35) (Sounds of officers securing a handgun from the subject. The background is filled with the sounds of other officers talking.)**


**00:01:40 Officer Miller:** (Into radio)  Unit 7 to dispatch, 10-4, suspect apprehended, awaiting backup.  Requesting medical for suspect, possible minor injuries.  Requesting crime scene unit.

**(00:01:50) (The video shows paramedics arriving and attending to the suspect.)**

**00:01:55 End of Recording**
"
Suspicious Person,Requested Backup,Threatened Officer,Empathy Statements,Firearm,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00) Audio of light traffic and distant sirens.**

**Officer Miller:** (Whispering into radio) Dispatch, this is Miller, unit 472.  I have a suspicious person at the corner of Elm and Maple. Male, appears agitated, possibly intoxicated. Requesting backup.

**(00:00:15)  Sound of approaching footsteps.**

**Officer Miller:** Sir, can I help you?

**Subject (John Doe):** (Mumbling) Stay back... stay away from me.

**Officer Miller:** Sir, I just want to make sure you're okay.  It's late, and you seem a little upset.

**(00:00:28) Subject fumbles with his waistband.  A metallic glint is visible.**

**Officer Miller:** (Eyes widen, hand moving toward holster)  Sir, I need you to keep your hands where I can see them.  Please.

**Subject (John Doe):** (Voice rising)  I'm not doing anything! Just leave me alone!  I've got a gun! I’ll shoot!

**(00:00:40) Sound of police sirens approaching in the distance.**

**Officer Miller:**  (Calmly) Sir, I understand you're upset. Things are probably feeling overwhelming right now.  Let's take a deep breath together. Just breathe slowly... in... and out...

**(00:00:52) Subject visibly trembles, but he slowly lowers his hand away from his waistband.**

**Officer Miller:**  That's it.  Good. See? You're doing great.  It’s okay to feel this way, but let's find a way to make things better.  Just let me know what's going on.

**Subject (John Doe):** (Voice softer)  I... I lost my job... I... I don't know what to do.

**Officer Miller:** I'm sorry to hear that, sir. Losing a job is incredibly stressful. We can work through this.  Just let me know what's happening, okay? Can you slowly put the gun on the ground?


**(00:01:15) Sounds of backup units arriving.**

**Officer Miller:**  Sir, there are other officers arriving now.  We can get you the help you need. Just put the gun down slowly, and we can talk.


**(00:01:30) The subject slowly places his firearm on the ground.  Backup officers approach, weapons drawn but holstered after seeing the weapon is on the ground.**

**Officer Miller:**  Okay, sir.  We're going to take you into custody.  Just keep your hands where I can see them, and you'll be okay.  We can help you.

**(00:01:45) The subject is handcuffed without incident.  Sound of handcuffs clicking.**


**Officer Miller:** (To backup officers)  He needs a mental health evaluation. Dispatch, we've got one in custody.  Suspect is secured.  Requesting ambulance and mental health response.  Unit 472, out.

**(00:02:00)  Ongoing sounds of police activity and sirens fading into the background.**
"
Suspicious Person,Non-threatening Gestures,Hostile,Requesting Cooperation,Knife,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:12

**(00:00:00)  [SOUND of police car siren fading]**

**00:00:05 Officer Miller:** (Approaching a man standing on a corner, knife visibly in his hand)  ""Sir, can I talk to you for a second?""

**00:00:08 Subject (Mark Jenkins):**  ""Get away from me!  I ain't done nothin'!"" (Voice is agitated and loud)

**00:00:12 Officer Miller:** (Keeping hands visible, palms open) ""Sir, I understand you're upset, but I just want to ask you a few questions. Please put the knife down.""

**00:00:17  [SOUND of traffic in the background]**

**00:00:18 Subject (Mark Jenkins):**  ""You stay back!  You're gonna get hurt!"" (He takes a step back, keeping the knife pointed at the ground)

**00:00:22 Officer Miller:** ""Sir, I'm not here to hurt you. I just want to understand what's going on.  Can you please cooperate?""  (Officer takes a slow, deliberate step back)

**00:00:27 Subject (Mark Jenkins):** (Muttering to himself) ""They're all after me... they're all after me...""

**00:00:32 Officer Miller:** ""Sir, I'm Officer Miller.  I'm here to help.  Just put down the knife, okay?  Let's talk about this."" (Officer maintains a calm, even tone)

**00:00:38 Subject (Mark Jenkins):** (Shouting) ""No!  Get away from me!  I'll stab you!""

**00:00:42 Officer Miller:** (Maintaining distance, voice calm but firm)  ""Sir, I don't want any trouble.  Just slowly lower the knife. Please.  It'll be easier for everyone."" (Officer slightly shifts his weight, subtly indicating readiness but avoiding aggressive posture)


**00:00:50  [SOUND of wind blowing]**

**00:00:52 Subject (Mark Jenkins):** (Hesitates, looks around wildly)  ""Fine... fine..."" (He slowly lowers the knife to his side)


**00:00:57 Officer Miller:** ""Good. That's it.  Now, can you slowly place it on the ground?""

**00:01:01 Subject (Mark Jenkins):** (Slowly places the knife on the ground)

**00:01:05 Officer Miller:** ""Okay, good.  Now,  I'm going to need you to put your hands behind your back."" (Officer keeps a safe distance, hands visible)

**00:01:09 Subject (Mark Jenkins):** (Reluctantly places his hands behind his back)

**00:01:12 Officer Miller:** (To backup arriving) ""Officer Davies, get the cuffs on him, please.""

**00:01:15 [SOUND of handcuffs clicking]**

**00:01:17 Officer Miller:**  ""You're under arrest for possession of a deadly weapon and disorderly conduct. You have the right to remain silent..."" (Continues reading Miranda rights)

**00:01:50  [SOUND of police radio chatter]**

**00:01:55 Officer Miller:**  ""Dispatch, 10-4, subject secured. Requesting transport to precinct.""

**(End of Transcript)**
"
Welfare Check,Raised Voice,Hostile,Empathy Statements,Firearm,Escalated to Force,"**Bodycam Transcript - Incident #2023-10-27-042**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:45:00

**(00:00:00) [Sound of car door closing, faint sirens in the distance]**

**Officer Miller:** (Approaching residence)  Dispatch, Miller arriving at 14 Oak Street.  Welfare check on John Smith.

**(00:00:15) [Knocking on the door]**

**Officer Miller:** Police Department! John Smith, can you open the door please?

**(00:00:30) [Sound of door opening slowly.  A man, John Smith, appears, visibly agitated. He holds a handgun in his right hand, loosely but visibly.]**

**John Smith:** (Slurred speech) What do you want? Get off my property!

**Officer Miller:** (Calmly) Sir, we received a call expressing concern for your wellbeing.  We just want to make sure you're alright.

**(00:00:45) John Smith:** (Raising his voice)  I’m fine!  Get off my lawn!  This is my house!

**(00:01:00)  Officer Miller:** (Voice slightly raised)  Sir, I understand you’re upset, but please put the gun down.  It's making things very difficult and dangerous for both of us.  I’m just trying to help.

**(00:01:15) John Smith:** (Shouting)  Help?! You’re harassing me! I’ll shoot!

**(00:01:20) [Sound of Officer Miller taking a step back. Officer draws taser.]**

**Officer Miller:** (Slightly louder, but controlled) Sir, I don't want to hurt you. I'm asking you one more time, put the gun down slowly. We can talk about this. I understand you might be feeling overwhelmed right now. Many people struggle, and it's okay to ask for help.

**(00:01:40) John Smith:** (Screaming) Get away from me!  (He raises the gun slightly)

**(00:01:45) [Sound of rustling, a quick shout from the officer ""Drop the weapon!""]**

**(00:01:47) [Sound of struggle, muffled shouts, then a gunshot.  The bodycam shakes violently.]**

**(00:01:52) [Sound of police radio chatter]**

**Officer Miller:** (Breathing heavily into radio) Shots fired! Shots fired!  14 Oak Street!  Request backup! Suspect down! Suspect down!  Officer needs medical!  Officer needs medical!

**(00:01:58) [Sound of sirens approaching, overlapping radio chatter.  Bodycam continues recording but shows nothing but the ground.]**

**(00:02:00) [End of recording]**


**Note:** This is a fictional transcript for illustrative purposes only.  Actual police procedures and outcomes vary considerably based on the specifics of each incident.  The use of force is a serious matter governed by law and policy.
"
Disturbance Call,Physical Restraint,Cooperative,Requesting Cooperation,Taser,Arrested Peacefully,"**Bodycam Transcript - Incident #2023-10-27-0042**

**Officer:** Officer Miller, Badge #472

**Timestamp:** 2023-10-27 22:15:00

**(Sound of police car door closing, faint sirens in the distance)**

**22:15:12 Officer Miller:** (Approaching a residence, knocking on the door)  Police Department, open up!

**(Sound of door creaking open, muffled shouting from inside)**

**22:15:25 Officer Miller:** Sir, calm down.  I'm Officer Miller. We received a call about a disturbance. Can you tell me what’s going on?

**Subject (Mark Johnson):**  (Voice agitated but controlled)  It's my brother, Officer. He’s... he’s freaking out.  He won't calm down.

**22:15:38 Officer Miller:** Okay, sir. Can you step aside so I can get a better look?

**(Mark Johnson steps aside. A younger man, visibly agitated, is pacing in the living room.)**

**22:15:45 Officer Miller:** (To the younger man) Sir, I’m Officer Miller.  We received a call about a disturbance at this address.  Can you tell me what’s happening?  Please keep your hands visible.

**Subject (John Johnson):** (Breathing heavily, speaking rapidly)  Just... just leave me alone! I don't need your help!

**22:15:58 Officer Miller:** Sir, I understand you're upset, but we need to calm things down.  I'm here to help. Can you please lower your voice and tell me what's going on?

**John Johnson:** (Continues pacing, hands clenched) I... I can’t...

**22:16:12 Officer Miller:** Sir, I need you to cooperate. If you don’t, I will have to take further action.  Please place your hands behind your back slowly.

**(John Johnson continues to pace. He is sweating and visibly distressed.)**

**22:16:27 Officer Miller:** (Drawing taser) Sir, I'm going to ask you one more time.  Place your hands behind your back.  This is your last chance to cooperate peacefully.

**(Sound of taser being deployed - a low hum and crackle)**

**22:16:30 Officer Miller:** (Immediately after deploying taser)  Stay down!  Hands behind your back!

**(John Johnson falls to the ground.  Officer Miller applies handcuffs.)**

**22:16:45 Officer Miller:** (To Mark Johnson) Sir, thank you for your cooperation.  We’re going to take your brother downtown for evaluation.

**22:16:52 Officer Miller:** (To John Johnson, after handcuffing him) You’re under arrest for disorderly conduct.  You have the right to remain silent... (continues reading Miranda rights)

**(Sound of John Johnson groaning softly)**

**22:17:15 Officer Miller:** (To backup arriving)  We’re good here.  One in custody, disorderly conduct.  No injuries.

**(Sound of backup officers arriving and talking amongst themselves, muffled radio chatter)**

**22:17:30 Officer Miller:** (To camera)  Incident concluded. Subject in custody without further incident.  Taser deployed once, effectively.  Subject cooperative following deployment.


**(End of Transcript)**
"
Disturbance Call,Used Calm Tone,Armed and Hostile,Verbal Warning,Taser,Not Injured,"**Bodycam Transcript - Incident #20231027-047**

**Officer:** Officer Miller, Badge #472

**Date:** October 27, 2023

**Time:** 22:43:12

**(00:00:00) Sound of police vehicle arriving, sirens fading**

**(00:00:05) Officer Miller (OM):**  ""Dispatch, Unit 472, arriving at scene.  Confirmed subject at address, appears agitated.""

**(00:00:10) Sound of car door closing, footsteps on gravel**

**(00:00:15) OM:** ""Sir, police!  Put your hands where I can see them!""

**(00:00:18) Subject (SUB):**  ""Get the fuck away from me!  This is my property!""  **(Sound of loud, erratic breathing)**

**(00:00:22) OM:** ""Sir, I understand you're upset, but I need you to slowly lower the knife.  I'm not here to hurt you, but I am here to ensure everyone's safety.  Slowly lower the knife, please."" (OM has his taser drawn but not pointed directly at the Subject)

**(00:00:30) SUB:** ""You stay back! I’ll fucking use it!"" (Subject is visibly agitated, knife held in a threatening posture)

**(00:00:35) OM:** ""Sir, I'm going to give you one more chance.  Slowly lower the knife.  If you don't, I will be forced to use my taser.  I don't want to do that. Please cooperate.""  (OM maintains a calm, but firm tone)

**(00:00:45) Sound of wind whistling, distant traffic noise**

**(00:00:50) SUB:** ""(Muttering incoherently) ...this is my life... they’re all after me...""

**(00:00:55) OM:** ""Sir, I understand you might be feeling overwhelmed. But please put the knife down.  Just put it down slowly.  We can talk about this, okay?""

**(00:01:05)  Subject slowly lowers the knife and drops it to the ground.** (Subject appears visibly relieved yet still agitated)

**(00:01:10) OM:**  ""Good.  Excellent. Now, please turn around and put your hands behind your head. Slowly.""

**(00:01:15) SUB:**  ""Okay... okay...""  (Subject complies slowly)

**(00:01:20) Sound of handcuffs clicking**

**(00:01:25) OM:** ""You're under arrest for disorderly conduct and brandishing a weapon. You have the right to remain silent..."" (OM continues with Miranda rights)

**(00:01:40) OM:** ""Dispatch, Unit 472, subject in custody, no injuries. Requesting backup for transport.""

**(00:01:45) Sound of police radio chatter, distant sirens approaching**

**(00:02:00) End of Recording**
"
